https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USD
1662336000000.0,2022-09-05 00:00:00,LTC/USD,60.92,61.62,59.265,60.385,376251.1937178107,22719928.33265
1662249600000.0,2022-09-04 00:00:00,LTC/USD,60.165,61.02,58.585,60.92,283736.2269886737,17285210.94815
1662163200000.0,2022-09-03 00:00:00,LTC/USD,61.005,62.22,59.515,60.165,232523.58967256712,13989781.77265
1662076800000.0,2022-09-02 00:00:00,LTC/USD,57.6,62.43,56.465,61.005,350766.2683968527,21398496.20355
1661990400000.0,2022-09-01 00:00:00,LTC/USD,53.82,57.81,53.18,57.6,442499.8116640625,25487989.15185
1661904000000.0,2022-08-31 00:00:00,LTC/USD,53.01,55.3,53.01,53.82,388179.2883500557,20891809.299
1661817600000.0,2022-08-30 00:00:00,LTC/USD,55.8,56.245,51.825,53.01,482319.7039501981,25567767.5064
1661731200000.0,2022-08-29 00:00:00,LTC/USD,53.415,56.715,52.485,55.8,371462.3810098567,20727600.86035
1661644800000.0,2022-08-28 00:00:00,LTC/USD,53.0,55.965,52.455,53.415,264995.88314424787,14154755.09815
1661558400000.0,2022-08-27 00:00:00,LTC/USD,52.7,53.48,51.68,53.0,170089.18343584906,9014726.7221
1661472000000.0,2022-08-26 00:00:00,LTC/USD,56.595,58.335,52.085,52.7,428855.5840834914,22600689.2812
1661385600000.0,2022-08-25 00:00:00,LTC/USD,56.445,57.54,55.81,56.595,302954.00269723474,17145681.78265
1661299200000.0,2022-08-24 00:00:00,LTC/USD,57.085,57.68,55.545,56.445,277787.3986376118,15679709.7161
1661212800000.0,2022-08-23 00:00:00,LTC/USD,57.215,57.745,53.93,57.085,291775.0028851712,16655976.0397
1661126400000.0,2022-08-22 00:00:00,LTC/USD,55.7,57.415,52.31,57.215,431675.29309971153,24698301.8947
1661040000000.0,2022-08-21 00:00:00,LTC/USD,54.115,56.0,53.775,55.7,309168.8937064632,17220707.37945
1660953600000.0,2022-08-20 00:00:00,LTC/USD,54.01,55.615,52.63,54.115,276910.2917813915,14985000.43975
1660867200000.0,2022-08-19 00:00:00,LTC/USD,60.025,60.165,53.235,54.01,399967.9565580448,21602269.3337
1660780800000.0,2022-08-18 00:00:00,LTC/USD,60.525,61.715,59.3,60.025,246986.42299125364,14825360.04005
1660694400000.0,2022-08-17 00:00:00,LTC/USD,61.315,64.715,59.68,60.525,221888.26564890542,13429787.2784
1660608000000.0,2022-08-16 00:00:00,LTC/USD,60.68,61.785,59.995,61.315,138909.65453070213,8517245.46755
1660521600000.0,2022-08-15 00:00:00,LTC/USD,63.15,65.33,59.655,60.68,148091.8698294331,8986214.66125
1660435200000.0,2022-08-14 00:00:00,LTC/USD,63.815,65.82,62.4,63.15,135464.17568250198,8554562.69435
1660348800000.0,2022-08-13 00:00:00,LTC/USD,62.92,65.7,62.685,63.815,139154.43118232393,8880140.0259
1660262400000.0,2022-08-12 00:00:00,LTC/USD,61.875,63.095,60.68,62.92,105020.310352829,6607877.9274
1660176000000.0,2022-08-11 00:00:00,LTC/USD,61.61,63.555,61.475,61.875,177779.93189818182,11000133.2862
1660089600000.0,2022-08-10 00:00:00,LTC/USD,59.175,62.335,57.465,61.61,380592.09605989285,23448279.03825
1660003200000.0,2022-08-09 00:00:00,LTC/USD,62.605,62.87,58.285,59.175,354162.13126573723,20957544.11765
1659916800000.0,2022-08-08 00:00:00,LTC/USD,61.125,64.105,60.82,62.605,331970.2645707212,20782998.41345
