unix,date,symbol,open,high,low,close,Volume DOGE,Volume USD
1.64844E+12,3/28/2022 4:00,DOGE/USD,0.14894,0.15389,0.14073,0.14456,19464988.01,2813858.667
1.64838E+12,3/27/2022 12:00,DOGE/USD,0.13958,0.15114,0.13631,0.14919,16635980.95,2481921.998
1.64835E+12,3/27/2022 4:00,DOGE/USD,0.14135,0.15041,0.13631,0.14894,13511135.13,2012348.467
1.6483E+12,3/26/2022 12:00,DOGE/USD,0.13304,0.14315,0.13166,0.13958,8490002.78,1185034.588
1.64827E+12,3/26/2022 4:00,DOGE/USD,0.13132,0.1421,0.13108,0.14135,7085326.216,1001510.861
1.64821E+12,3/25/2022 12:00,DOGE/USD,0.13579,0.13766,0.1275,0.13304,7628807.409,1014936.538
1.64818E+12,3/25/2022 4:00,DOGE/USD,0.13536,0.13766,0.1275,0.13132,9160448.691,1202950.122
1.64812E+12,3/24/2022 12:00,DOGE/USD,0.13811,0.13867,0.13214,0.13579,13500128.87,1833182.499
1.64809E+12,3/24/2022 4:00,DOGE/USD,0.13637,0.14137,0.13214,0.13536,17971360.4,2432603.344
1.64804E+12,3/23/2022 12:00,DOGE/USD,0.12238,0.14137,0.12176,0.13811,31511584.98,4352065.001
1.64801E+12,3/23/2022 4:00,DOGE/USD,0.12187,0.13848,0.12187,0.13637,11965057.71,1631674.92
1.64795E+12,3/22/2022 12:00,DOGE/USD,0.12392,0.12564,0.12117,0.12238,4654845.828,569660.0324
1.64792E+12,3/22/2022 4:00,DOGE/USD,0.12174,0.12564,0.1212,0.12187,4585796.843,558871.0613
1.64786E+12,3/21/2022 12:00,DOGE/USD,0.12074,0.12444,0.11818,0.12392,4648609.773,576055.7231
1.64784E+12,3/21/2022 4:00,DOGE/USD,0.11944,0.1225,0.11878,0.12174,1265529.166,154065.5207
1.64778E+12,3/20/2022 12:00,DOGE/USD,0.12044,0.12168,0.11749,0.12074,3759188.482,453884.4173
1.64775E+12,3/20/2022 4:00,DOGE/USD,0.12228,0.12307,0.11749,0.11944,3584339.792,428113.5447
1.64769E+12,3/19/2022 12:00,DOGE/USD,0.12178,0.12513,0.12017,0.12044,5180779.51,623973.0842
1.64766E+12,3/19/2022 4:00,DOGE/USD,0.11878,0.12513,0.11869,0.12228,5637832.435,689394.1502
1.6476E+12,3/18/2022 12:00,DOGE/USD,0.11479,0.12251,0.11454,0.12178,8083171.464,984368.6209
1.64758E+12,3/18/2022 4:00,DOGE/USD,0.11501,0.12049,0.11436,0.11878,7813395.853,928075.1594
1.64752E+12,3/17/2022 12:00,DOGE/USD,0.11687,0.11807,0.11436,0.11479,4776214.385,548261.6492
1.64749E+12,3/17/2022 4:00,DOGE/USD,0.11695,0.11944,0.11474,0.11501,5283316.61,607634.2433
1.64743E+12,3/16/2022 12:00,DOGE/USD,0.11417,0.11944,0.11253,0.11687,4500943.431,526025.2587
1.6474E+12,3/16/2022 4:00,DOGE/USD,0.11274,0.11779,0.11253,0.11695,2831622.726,331158.2779
1.64735E+12,3/15/2022 12:00,DOGE/USD,0.11149,0.116,0.11091,0.11417,5043704.624,575839.7569
1.64732E+12,3/15/2022 4:00,DOGE/USD,0.11247,0.116,0.11022,0.11274,4623027.762,521200.1499
1.64726E+12,3/14/2022 12:00,DOGE/USD,0.11487,0.11519,0.11022,0.11149,4340561.49,483929.2006
1.64723E+12,3/14/2022 4:00,DOGE/USD,0.11137,0.122,0.11133,0.11247,8410153.993,945890.0196
1.64717E+12,3/13/2022 12:00,DOGE/USD,0.11492,0.122,0.10997,0.11487,7613211.625,874529.6193
1.64714E+12,3/13/2022 4:00,DOGE/USD,0.11588,0.11628,0.10997,0.11137,3150948.905,350921.1795
1.64709E+12,3/12/2022 12:00,DOGE/USD,0.11601,0.11673,0.11425,0.11492,1395714.882,160395.5542
1.64706E+12,3/12/2022 4:00,DOGE/USD,0.11642,0.11703,0.11425,0.11588,1251021.878,144968.4152
1.647E+12,3/11/2022 12:00,DOGE/USD,0.11772,0.11861,0.11384,0.11601,2496291.555,289594.7833
1.64697E+12,3/11/2022 4:00,DOGE/USD,0.11587,0.11861,0.11384,0.11642,2912682.441,339094.4898
1.64691E+12,3/10/2022 12:00,DOGE/USD,0.11664,0.1184,0.11465,0.11772,3934424.561,463160.4593
1.64688E+12,3/10/2022 4:00,DOGE/USD,0.11898,0.11908,0.11465,0.11587,3977315.93,460851.5968
1.64683E+12,3/9/2022 12:00,DOGE/USD,0.12302,0.12352,0.11544,0.11664,3846908.553,448703.4136
1.6468E+12,3/9/2022 4:00,DOGE/USD,0.12157,0.12207,0.11843,0.11898,1079861.552,128481.9274
1.64674E+12,3/8/2022 12:00,DOGE/USD,0.1192,0.12441,0.11532,0.12302,4462629.689,548992.7043
1.64671E+12,3/8/2022 4:00,DOGE/USD,0.11897,0.12175,0.11671,0.12157,655507.0459,79689.99157
1.64665E+12,3/7/2022 12:00,DOGE/USD,0.12003,0.12264,0.1133,0.1192,5706878.506,680259.9179
